USER ID,alpine kimono,sweden kansas,student icon,supreme ivan,albert charlie,heavy trapeze,fabric tokyo,brother robin,tiger catalog,explain alex,trick bambino,lily square,oliver ballet,segment place,patent input,exit diet,zipper tibet,tobacco rubber,star drum,chariot neon,bicycle ambient,galileo eric,amazon campus,montana number,welcome visible,charm lucky,vampire mayday,english pinball,caesar egypt,modern small,amigo shampoo,talent finland,margo alien,jason disney,final limbo,frog command,java poem,iceberg frame,saddle ramirez,climax next,grand cactus,fiction resume,audio mango,screen silver,carmen song,armor ocean,matrix stuart,scoop spider,maximum permit,adam mimic,igloo monaco,pattern collect,liberal avatar,pigment pogo,prime common,voltage jasmine,block betty,aztec billy,canoe crimson,anita tornado,chaos paradox,zebra dinner,private belgium,group before,picasso cover,prelude derby,ticket think,episode direct,reward factor,ceramic binary,forever snow,europe italian,meaning popular,cliff enrico,arsenal greek,simple seminar,apple invest,basic gate,deal cafe,yoyo margin,infant taxi,initial bonanza,artist omega,marco control,alfred magnum,clinic vortex,change escape,slow buenos,prague wolf,sheriff sonata,cigar lagoon,equal comedy,bombay podium,helena robot,prodigy rhino,jumbo gray,radius wizard,fame quiz,bazaar complex,glass slogan
100950,2.192897,0.361397,0.531663,0.016105,0.694338,1.250662,1.483259,1.799682,0.664616,0.165158,1.506116,3.467118,1.600486,0.838275,1.744771,2.846625,2.588320,0.071704,2.087279,0.822406,3.151688,0.429556,1.818617,0.046768,0.809168,1.881066,1.584834,0.902077,0.678547,0.929602,0.161589,0.040689,0.169637,0.606968,1.233399,0.982491,1.112361,0.895992,2.247814,1.553427,1.088072,2.284360,0.471459,1.156825,1.647350,3.753087,1.026213,1.980039,2.510141,3.492612,0.011076,1.652048,2.709457,1.568109,0.789623,0.381928,0.797646,7.370833,0.876626,3.348159,0.726056,0.586736,1.186865,2.378105,0.434706,0.277343,2.699304,3.613263,0.069735,0.891025,0.667526,1.208972,1.501209,0.358419,0.449963,1.176140,1.188428,0.298428,2.690747,0.031314,2.555226,1.273756,0.090849,2.914708,1.644275,0.576859,1.583886,0.644288,0.495847,0.467563,0.309236,2.622033,1.242243,2.947560,0.693319,0.625303,2.352295,1.548417,1.517709,1.508219
100956,2.776597,0.788821,1.187149,0.473049,2.245112,1.998881,0.072812,1.441970,2.264368,2.518723,0.146950,2.727038,2.666374,1.049171,0.314926,1.313956,0.414036,0.466519,1.977320,0.800286,4.791638,0.272229,0.167344,1.315967,0.304997,1.718822,1.448159,1.722042,1.200506,2.555252,0.253545,1.162933,0.231284,2.373623,1.626805,0.443960,1.421852,0.413496,3.812734,3.212485,2.271956,3.010452,0.036582,2.746701,0.616173,0.597742,0.134796,2.922011,4.574833,2.622418,1.787423,1.424433,0.215512,1.620712,1.973963,1.761048,0.659729,0.273907,2.274588,0.990136,0.905770,5.506218,3.439089,1.713965,1.917928,2.669431,1.651809,2.316539,0.688881,0.788976,0.787824,1.373266,1.300367,0.469397,3.538784,0.998819,2.223599,0.390395,0.393260,0.686910,0.609288,0.783251,1.850597,2.701274,1.215927,1.556880,1.680547,2.536076,0.800783,0.901710,2.304845,1.498307,0.319484,0.089212,3.157167,2.789594,1.003377,1.141516,2.011509,0.377898
100962,0.281717,5.046727,4.407484,2.138591,1.075562,0.385842,0.626482,0.026648,1.949374,0.062942,2.495515,0.016084,0.586882,3.230566,0.860839,1.521829,4.157821,1.118119,0.111370,0.894923,0.657129,0.581657,2.202605,5.053377,2.425744,2.977293,2.703334,1.587029,2.000337,0.816579,1.973527,0.400579,2.717164,0.623781,1.155004,1.029187,0.013720,1.792680,4.438307,1.001858,3.350581,2.289606,1.070681,0.784795,1.404231,1.755664,2.692671,1.205910,2.092507,4.826722,0.816955,1.576644,0.919118,0.697105,1.322951,1.351459,4.013481,0.916953,2.685869,0.456614,0.909851,0.755238,0.133335,1.635355,0.959893,0.035266,0.350805,0.452377,0.517135,0.474218,0.503024,0.257318,2.578851,2.701771,1.093751,2.676931,1.021898,1.000909,1.894945,1.416273,0.519646,2.037664,0.927960,1.800147,0.190270,0.021136,2.345960,3.886149,1.130381,1.553940,1.463952,0.601814,1.983130,2.364877,0.429133,2.758070,0.563619,0.271453,0.579626,1.785609
100969,0.943147,1.165713,2.016138,1.236626,0.973435,2.514205,0.022476,1.091282,1.320748,0.525940,0.315938,1.892327,1.715119,0.755313,2.159255,1.220520,3.362300,0.382637,2.742303,0.997356,2.665371,0.334674,0.357650,0.703012,0.872832,1.969023,3.032410,1.558877,0.509899,0.716506,0.312301,1.912631,0.435879,1.281649,2.870411,0.544391,0.896477,1.943699,1.867548,0.956330,1.485454,0.845914,0.715489,0.655622,1.464252,4.991920,2.103155,2.347697,2.669383,4.299634,0.354754,2.305405,2.493214,2.779603,1.430634,0.195517,2.378646,8.513111,1.545376,4.521979,2.409987,1.501131,0.042595,1.873643,0.264595,1.114935,1.391725,4.808259,1.461828,0.675894,0.509467,0.497439,1.021550,0.853528,0.656911,1.546643,0.709997,0.944229,2.842506,1.312915,2.348126,1.924732,0.793704,1.807456,2.899617,1.452850,0.341025,1.144250,1.498946,0.642300,1.428416,3.791742,1.102070,3.250911,1.209403,0.246261,0.558631,1.163652,1.922758,1.008040
100974,0.485729,4.633607,4.120416,1.497073,1.463875,0.867737,0.877514,0.019603,1.751483,0.297013,2.530525,0.402315,1.076396,2.480504,1.211330,2.338646,4.093922,0.949054,0.329723,1.110646,0.066736,0.185741,1.209100,4.971045,2.487119,3.514932,3.208829,1.108992,1.983921,0.294318,2.540811,0.149997,3.087353,0.757872,1.276450,1.120114,0.246359,1.842108,4.098713,1.587715,2.702184,2.450304,1.621037,0.339086,1.452675,2.336774,2.785555,0.889706,2.525080,4.833932,1.197623,1.442466,0.817949,0.563794,2.494814,1.797514,3.178964,0.069237,1.288588,0.296157,0.798549,0.057849,0.514514,1.520852,1.229350,0.377202,0.329415,0.935373,0.707507,0.327590,0.676837,0.063060,2.523455,2.562749,0.192755,2.101636,1.505676,0.204205,1.604932,0.801320,0.734097,1.768788,0.057769,2.766312,0.210766,0.659969,1.267286,4.042300,1.046340,1.312382,1.179954,1.031741,1.935182,2.012611,0.553173,2.614605,0.313479,0.143246,0.914407,2.011048
100978,1.375428,0.078033,1.542969,0.941914,2.063159,1.891442,0.505726,0.331394,1.798159,0.992095,0.006182,3.715343,2.737760,1.139315,0.551243,0.282894,0.607141,1.141591,1.937010,0.973499,4.104309,0.428701,0.033055,0.488224,0.259916,2.627086,0.855048,1.564743,0.818247,2.625745,0.562425,0.926781,0.313450,1.671817,2.570505,0.637508,0.008240,0.579493,2.491395,2.543511,0.993295,2.627039,0.517481,1.605496,0.187175,0.228533,0.944818,3.401918,4.499462,1.743294,0.999094,0.525227,0.715687,1.639890,1.943345,1.722817,1.720667,0.917871,0.538144,1.048403,0.343703,5.830482,2.800493,0.907624,1.794589,1.919219,1.673745,1.067097,0.957243,0.573155,0.980611,1.924500,1.144868,0.404212,3.726562,0.644758,1.348842,0.815665,0.508452,1.123603,0.680270,1.169222,0.460496,3.017791,2.100510,1.414562,0.993180,2.532070,0.166057,1.282652,2.463508,1.885255,1.585443,0.982697,3.721925,3.022692,0.120610,0.755187,1.357658,0.136051
100982,1.918573,0.285344,2.282530,0.063600,1.521144,2.202876,0.403190,0.902264,2.078074,0.519951,1.067149,1.964196,2.597780,0.025819,0.493395,1.531579,0.008031,1.866069,1.262164,1.298294,3.667743,0.404415,0.813603,0.917252,0.994239,3.581300,0.888098,0.685021,1.469862,2.775652,0.834079,0.853058,0.080692,1.434342,3.095376,0.142704,0.143297,0.883579,1.588361,3.822832,1.245289,3.276752,0.302849,1.925116,0.314846,1.279322,0.816913,3.289353,4.845930,1.589979,1.306553,0.383994,0.563804,0.495772,1.675501,1.459707,0.761181,1.040882,0.645465,1.503925,0.019268,5.241616,2.706290,0.413672,1.777588,2.553024,1.853549,0.903489,0.546726,1.495287,1.862308,2.250789,0.960630,0.999150,4.271838,0.752275,0.545690,2.035086,0.428562,0.684376,0.961036,1.354698,0.525433,2.361895,1.867681,2.371424,0.165538,2.389389,0.112439,0.586306,2.051588,1.553329,0.876150,1.167866,4.341824,3.550832,0.386506,0.168149,1.347816,0.588570
100986,2.126462,1.275476,2.479736,0.145961,2.727531,2.261562,0.214688,0.386268,2.393140,0.430646,1.207948,1.946441,2.584782,0.421371,0.520478,1.822968,0.490097,1.654703,1.547824,1.072615,3.731269,0.336612,1.486828,1.353334,1.047525,3.038775,1.355674,0.953219,1.246988,1.849709,0.368023,1.331174,0.151106,1.651809,3.384368,0.452765,0.786177,1.268218,1.318168,3.678513,0.966298,4.163666,0.600383,1.309448,0.363465,1.593740,0.439795,3.256410,5.176906,1.954702,1.294722,0.286132,0.527482,1.014203,1.305360,1.312303,0.512699,0.550340,0.924318,1.314752,0.667001,4.918093,2.063799,0.552010,2.116980,2.308559,2.666532,1.621608,0.493564,0.746032,2.869864,2.013195,0.763209,0.491977,4.350606,1.247881,1.111874,1.861649,0.208894,1.014895,1.414327,1.565031,1.359216,2.462821,1.985232,1.963523,1.129950,2.520565,0.315615,1.599165,1.966967,0.843943,1.509663,1.333854,3.810228,3.704678,0.451454,0.216484,1.560269,0.524813
100994,0.755271,3.504614,2.963729,0.826123,0.793227,0.258855,1.028320,0.768153,2.309434,0.420606,0.944500,1.796483,0.864938,0.912730,2.280270,3.144991,3.715920,1.236100,0.728907,1.068638,0.317632,0.532359,0.115366,4.039708,0.696005,3.181005,2.116446,0.802959,2.324698,0.057471,2.394677,1.238905,3.702064,0.741055,1.879526,0.399191,0.899960,2.613981,3.597430,0.977016,3.539624,0.029256,0.765983,0.091949,0.903275,3.330807,3.358690,1.333583,2.926555,4.815772,0.758821,0.412626,1.234744,0.927195,2.881765,2.151631,2.329802,0.875366,1.251644,0.396182,1.974371,0.669509,1.354636,2.232014,1.399386,1.105583,1.733099,1.272699,0.568175,1.420024,1.682359,0.609735,2.345681,2.876553,0.173904,1.518105,1.376136,0.027563,2.273743,0.627644,0.264754,1.509139,0.573903,2.881518,0.572516,1.635300,1.420964,4.838561,1.893717,0.992238,0.237709,0.060765,1.573091,2.226294,0.925157,2.181377,1.607304,0.412320,0.492179,1.652318
100998,2.386497,0.028782,0.547451,0.621749,0.394331,1.600735,1.757346,1.367252,0.136069,0.103329,2.489985,4.413107,1.408954,1.837730,1.427573,3.527063,2.651443,0.104422,1.204977,0.733108,3.832511,0.595826,2.718474,0.733440,0.389191,2.481255,1.873701,1.158540,0.387832,0.690235,1.122017,0.195384,0.978855,1.296821,1.353932,1.210948,1.127275,0.831689,2.945536,1.311546,0.731262,3.206417,0.335528,1.237267,1.382801,3.338119,0.609537,2.031620,2.021613,3.263899,0.686091,1.497056,1.743595,0.937413,0.003743,0.442696,0.768127,7.309811,0.168739,2.785745,0.081848,0.038515,1.256586,2.878588,0.792438,0.747840,3.419600,2.527730,0.549699,1.573926,1.441925,1.402315,1.704760,0.049375,0.195577,1.762570,1.722967,0.228219,1.853819,0.002994,2.293529,1.062737,0.667058,3.505224,2.073010,1.081403,1.382185,0.160179,0.528520,0.286673,0.137733,2.630844,1.199733,2.796379,0.757562,1.538898,2.476939,1.469981,1.374743,0.882288
101008,2.395957,0.019908,0.760578,0.311100,0.845529,1.393885,1.574410,1.725283,0.416741,0.307161,2.491758,3.647424,1.455617,0.702895,1.211291,3.392310,2.581056,0.239026,1.106677,0.437100,3.778063,0.444277,2.542171,1.133825,0.885546,2.576977,1.711567,0.987202,0.739166,0.841500,0.883435,0.219679,0.022776,0.858680,1.054264,0.521981,0.768967,1.074437,2.529643,1.606931,0.635308,2.573327,0.576937,1.317507,1.430625,3.503873,0.616541,2.093655,2.199162,3.328251,0.590868,1.533473,1.608498,1.428902,0.080282,0.502670,0.876690,7.147551,0.117524,3.168867,0.040419,0.472524,0.985196,2.493610,0.883503,0.591393,3.352482,2.752714,0.447658,1.113602,0.429738,1.433184,1.101005,0.448170,0.142887,1.527622,1.552210,0.241110,2.780463,0.268916,2.595673,0.964935,0.168025,3.636306,2.223786,0.906608,1.091691,0.302843,0.541742,0.003049,0.142827,2.283588,1.168654,2.837194,0.156193,0.804442,2.384126,1.746361,1.456519,0.960094
