USER ID,PRODUCT,RATING
100950,secret postage,4
100950,violet saga,4
100950,pepper chicago,3
100950,nina sailor,2
100950,front salami,3
100950,motor modular,9
100950,calypso zigzag,5
100950,imagine disco,8
100950,kitchen active,4
100950,banjo ladder,8
100950,mexico stretch,6
100950,meteor slalom,6
100950,spend oberon,1
100956,nina sailor,4
100956,oregano option,5
100956,popcorn shannon,3
100956,ninja history,10
100956,saint desert,7
100956,kitchen active,2
100956,barcode arnold,5
100956,distant list,2
100962,topic rover,7
100962,kayak analog,0
100962,optimal recycle,2
100962,ninja history,3
100962,process volume,7
100962,lobster diana,3
100962,risk corona,6
100962,meteor slalom,0
100962,company polo,7
100962,image jessica,9
100962,forum bravo,4
100962,house vodka,7
100969,salsa impress,10
100969,update lola,5
100969,violet saga,0
100969,sensor child,0
100969,peru king,10
100969,apropos pizza,1
100969,june monica,10
100969,wheel gibson,2
100969,evita soviet,2
100969,popcorn shannon,7
100969,civil book,5
100969,lotus sherman,2
100969,scale nepal,0
100969,banjo ladder,5
100969,helium exact,1
100969,voodoo planet,8
100969,image jessica,6
100969,spend oberon,8
100969,anagram mentor,10
100974,bronze mystic,1
100974,picnic locate,9
100974,garden jimmy,6
100974,optimal recycle,3
100974,meter sigma,1
100974,ninja history,3
100974,bandit anatomy,9
100974,lobster diana,2
100974,viva avalon,9
100974,scale nepal,6
100974,barcode arnold,5
100974,distant list,2
100978,update lola,6
100978,horizon norway,5
100978,pepper chicago,5
100978,peru king,5
100978,civil book,4
100978,bandit anatomy,5
100978,lotus sherman,4
100978,helium exact,4
100978,sweet alert,6
100982,secret postage,0
100982,horizon norway,10
100982,casino unit,3
100982,popcorn shannon,4
100982,adrian crater,9
100982,civil book,6
100982,swing martin,7
100982,viking llama,6
100982,scale nepal,7
100982,ventura puzzle,8
100982,spend oberon,3
100986,horizon norway,10
100986,nina sailor,9
100986,topic rover,1
100986,casino unit,5
100986,evita soviet,4
100986,adrian crater,9
100986,saint desert,8
100986,kitchen active,5
100986,mexico stretch,7
100986,voodoo planet,3
100986,ventura puzzle,9
100986,distant list,8
100994,premium bread,9
100994,horizon norway,5
100994,apropos pizza,9
100994,strong plume,1
100994,front salami,3
100994,popcorn shannon,1
100994,saint desert,4
100994,process volume,1
100994,ship canal,6
100994,voodoo planet,0
100994,barcode arnold,1
100994,spend oberon,2
100994,distant list,0
100998,nina sailor,3
100998,sensor child,3
100998,topic rover,8
100998,sabine danube,5
100998,front salami,3
100998,motor modular,10
100998,saint desert,7
100998,diploma moment,1
100998,process volume,7
100998,viking llama,3
100998,lobster diana,3
100998,forum bravo,5
100998,oxford open,10
101008,premium bread,4
101008,strong plume,6
101008,conan antenna,8
101008,inch fragile,1
101008,wheel gibson,7
101008,civil book,3
101008,swing martin,7
101008,studio classic,8
101008,imagine disco,7
101008,helium exact,7
101008,meteor slalom,7
101008,image jessica,9
101008,anagram mentor,6
101014,salute joshua,2
101014,front salami,2
101014,evita soviet,6
101014,ninja history,9
101014,saint desert,5
101014,story respect,6
101014,banjo ladder,4
101014,ventura puzzle,3
101024,salute joshua,5
101024,vista queen,3
101024,sensor child,8
101024,strong plume,10
101024,picnic locate,9
101024,optimal recycle,9
101024,civil book,7
101024,ritual product,6
101024,viking llama,3
101024,lobster diana,5
101024,viva avalon,3
101024,meteor slalom,0
101024,barcode arnold,7
101024,spend oberon,3
101024,distant list,9
101029,premium bread,9
101029,salute joshua,0
101029,vista queen,6
101029,nina sailor,0
101029,panic inside,9
101029,motor modular,9
101029,diploma moment,9
101029,bandit anatomy,9
101029,swing martin,6
101029,story respect,10
101029,ship canal,1
101029,current pony,8
101029,image jessica,9
101030,front salami,6
101030,bronze mystic,5
101030,inch fragile,9
101030,meter sigma,4
101030,ninja history,4
101030,mexico stretch,4
101030,image jessica,1
101030,spend oberon,9
101037,violet saga,7
101037,nina sailor,7
101037,wheel gibson,7
101037,saint desert,5
101037,studio classic,1
101037,lotus sherman,5
101037,risk corona,1
101037,ventura puzzle,8
101037,barcode arnold,5
101044,salsa impress,3
101044,apropos pizza,3
101044,oregano option,3
101044,june monica,3
101044,bronze mystic,8
101044,casino unit,4
101044,popcorn shannon,9
101044,process volume,6
101044,imagine disco,7
101044,lotus sherman,6
101044,viva avalon,2
101044,risk corona,3
101044,meteor slalom,9
101044,company polo,3
101044,distant list,8
101050,conan antenna,1
101050,inch fragile,9
101050,garden jimmy,7
101050,popcorn shannon,7
101050,ritual product,8
101050,viking llama,2
101050,calypso zigzag,9
101050,studio classic,2
101050,ship canal,8
101050,sweet alert,0
101050,barcode arnold,5
101050,distant list,8
101050,oxford open,9
101051,update lola,1
101051,vista queen,1
101051,pepper chicago,2
101051,topic rover,6
101051,ninja history,6
101051,process volume,8
101051,calypso zigzag,3
101051,lotus sherman,10
101052,topic rover,7
101052,apropos pizza,4
101052,stop tropic,4
101052,strong plume,3
101052,conan antenna,5
101052,picnic locate,7
101052,optimal recycle,3
101052,ninja history,4
101052,ritual product,4
101052,viking llama,6
101052,studio classic,7
101052,scale nepal,4
101052,mexico stretch,6
101052,distant list,6
101058,horizon norway,3
101058,sensor child,9
101058,oregano option,7
101058,kayak analog,3
101058,inch fragile,8
101058,meter sigma,8
101058,process volume,9
101058,ritual product,7
101058,kitchen active,7
101058,ship canal,7
101058,risk corona,6
101067,premium bread,0
101067,kayak analog,8
101067,optimal recycle,1
101067,evita soviet,5
101067,meter sigma,9
101067,saint desert,7
101067,studio classic,4
101067,ship canal,4
101067,voodoo planet,10
101069,update lola,2
101069,peru king,7
101069,stop tropic,1
101069,bronze mystic,5
101069,tripod stand,9
101069,viking llama,0
101069,kitchen active,1
101069,ship canal,5
101069,risk corona,8
101069,ventura puzzle,0
101070,stop tropic,5
101070,june monica,2
101070,inch fragile,5
101070,popcorn shannon,10
101070,swing martin,1
101070,tripod stand,1
101070,lobster diana,8
101070,anagram mentor,0
101078,vista queen,4
101078,sensor child,2
101078,sabine danube,8
101078,tripod stand,2
101078,viva avalon,4
101078,ship canal,3
101078,helium exact,3
101078,mexico stretch,6
101081,update lola,7
101081,salute joshua,5
101081,oregano option,5
101081,ritual product,7
101081,lotus sherman,3
101081,oxford open,2
101088,violet saga,9
101088,salute joshua,6
101088,stop tropic,10
101088,front salami,9
101088,bronze mystic,2
101088,inch fragile,10
101088,tourist micro,1
101088,motor modular,9
101088,civil book,6
101088,calypso zigzag,1
101088,imagine disco,5
101088,banjo ladder,10
101088,current pony,6
101088,oxford open,9
101091,nina sailor,6
101091,picnic locate,6
101091,motor modular,6
101091,ninja history,4
101091,diploma moment,6
101091,bandit anatomy,5
101091,calypso zigzag,3
101091,studio classic,3
101091,risk corona,2
101091,anagram mentor,5
101091,oxford open,7
101092,strong plume,4
101092,sabine danube,5
101092,optimal recycle,4
101092,panic inside,6
101092,adrian crater,5
101092,civil book,2
101092,viking llama,5
101092,imagine disco,2
101092,company polo,6
101092,forum bravo,4
101098,horizon norway,3
101098,pepper chicago,4
101098,topic rover,9
101098,strong plume,7
101098,june monica,1
101098,bronze mystic,6
101098,popcorn shannon,4
101098,saint desert,8
101098,calypso zigzag,5
101098,studio classic,9
101098,mexico stretch,5
101098,spend oberon,1
101103,update lola,8
101103,salute joshua,5
101103,horizon norway,6
101103,june monica,3
101103,motor modular,4
101103,ship canal,4
101103,sweet alert,9
101103,barcode arnold,4
101103,anagram mentor,1
101108,sensor child,3
101108,peru king,7
101108,bandit anatomy,2
101108,studio classic,5
101108,anagram mentor,3
101108,distant list,4
101108,bazooka diagram,7
101114,topic rover,2
101114,apropos pizza,7
101114,kayak analog,8
101114,garden jimmy,6
101114,wheel gibson,7
101116,pepper chicago,6
101116,nina sailor,7
101116,oregano option,8
101116,kayak analog,3
101116,picnic locate,6
101116,optimal recycle,4
101116,casino unit,5
101116,swing martin,4
101116,voodoo planet,3
101116,meteor slalom,4
101118,premium bread,9
101118,salsa impress,2
101118,pepper chicago,5
101118,optimal recycle,5
101118,adrian crater,3
101118,saint desert,5
101118,ritual product,3
101118,swing martin,1
101118,viking llama,8
101118,helium exact,1
101118,image jessica,7
101125,salute joshua,5
101125,nina sailor,5
101125,apropos pizza,3
101125,bronze mystic,5
101125,studio classic,5
101125,imagine disco,5
101125,viva avalon,3
101134,topic rover,5
101134,picnic locate,1
101134,garden jimmy,5
101134,wheel gibson,1
101134,panic inside,0
101134,meter sigma,0
101134,tourist micro,9
101134,civil book,4
101134,swing martin,0
101134,risk corona,10
101134,meteor slalom,10
101134,oxford open,1
101143,oregano option,1
101143,kayak analog,6
101143,adrian crater,8
101143,swing martin,6
101143,imagine disco,7
101143,banjo ladder,8
101143,mexico stretch,7
101143,sweet alert,7
101143,image jessica,9
101143,forum bravo,1
101146,violet saga,0
101146,horizon norway,0
101146,front salami,0
101146,panic inside,0
101146,tourist micro,9
101146,ninja history,8
101146,lotus sherman,0
101146,scale nepal,1
101146,banjo ladder,0
101146,meteor slalom,10
101146,forum bravo,4
101148,topic rover,2
101148,peru king,2
101148,conan antenna,9
101148,kayak analog,2
101148,inch fragile,7
101148,tourist micro,5
101148,viking llama,6
101148,banjo ladder,9
101148,current pony,8
101148,ventura puzzle,9
101148,meteor slalom,3
101148,spend oberon,3
101153,strong plume,6
101153,viva avalon,6
101153,banjo ladder,2
101153,current pony,7
101153,voodoo planet,2
101153,barcode arnold,2
101153,bazooka diagram,4
101153,house vodka,7
101158,salute joshua,0
101158,stop tropic,0
101158,strong plume,6
101158,picnic locate,6
101158,tourist micro,10
101158,motor modular,10
101158,saint desert,7
101158,calypso zigzag,0
101158,lobster diana,4
101158,ventura puzzle,6
101158,barcode arnold,6
101158,forum bravo,9
101158,distant list,6
101158,bazooka diagram,7
101163,june monica,0
101163,optimal recycle,8
101163,motor modular,8
101163,banjo ladder,7
101163,helium exact,6
101163,meteor slalom,6
101163,anagram mentor,4
101172,salsa impress,7
101172,salute joshua,6
101172,strong plume,5
101172,front salami,6
101172,picnic locate,5
101172,garden jimmy,5
101172,motor modular,3
101172,ninja history,4
101172,imagine disco,4
101172,oxford open,2
101173,strong plume,8
101173,front salami,7
101173,tourist micro,10
101173,motor modular,1
101173,story respect,0
101173,studio classic,6
101173,ship canal,7
101173,helium exact,4
101173,company polo,4
101173,bazooka diagram,1
101173,house vodka,8
101175,premium bread,10
101175,horizon norway,0
101175,sensor child,1
101175,oregano option,9
101175,saint desert,5
101175,story respect,6
101175,imagine disco,5
101175,helium exact,0
101175,forum bravo,4
101180,pepper chicago,7
101180,peru king,4
101180,sabine danube,8
101180,garden jimmy,3
101180,tourist micro,9
101180,civil book,5
101180,mexico stretch,1
101180,voodoo planet,1
101180,forum bravo,6
101183,horizon norway,5
101183,pepper chicago,7
101183,sensor child,2
101183,peru king,4
101183,oregano option,4
101183,helium exact,3
101183,sweet alert,7
101183,ventura puzzle,5
101183,company polo,2
101183,spend oberon,5
101183,anagram mentor,6
101183,bazooka diagram,6
101186,vista queen,6
101186,nina sailor,3
101186,apropos pizza,6
101186,stop tropic,4
101186,conan antenna,4
101186,story respect,2
101186,viva avalon,8
101186,scale nepal,6
101186,oxford open,3
101195,salsa impress,7
101195,update lola,3
101195,salute joshua,7
101195,kayak analog,1
101195,picnic locate,7
101195,popcorn shannon,6
101195,adrian crater,8
101195,banjo ladder,9
101195,meteor slalom,1
101195,forum bravo,4
101203,horizon norway,3
101203,stop tropic,1
101203,strong plume,2
101203,inch fragile,2
101203,casino unit,9
101203,meter sigma,1
101203,motor modular,4
101203,ritual product,4
101203,viking llama,7
101203,calypso zigzag,5
101203,mexico stretch,2
101203,forum bravo,5
101211,update lola,7
101211,nina sailor,2
101211,oregano option,7
101211,sabine danube,9
101211,panic inside,1
101211,bandit anatomy,1
101211,sweet alert,6
101211,voodoo planet,1
101211,meteor slalom,9
101211,distant list,2
101212,update lola,4
101212,horizon norway,9
101212,bronze mystic,2
101212,kayak analog,1
101212,tourist micro,1
101212,viking llama,1
101212,viva avalon,2
101212,banjo ladder,5
101212,voodoo planet,6
101212,ventura puzzle,0
101212,barcode arnold,8
101212,spend oberon,7
101221,june monica,7
101221,picnic locate,4
101221,evita soviet,6
101221,ritual product,4
101221,swing martin,4
101221,viva avalon,5
101221,risk corona,4
101221,spend oberon,7
101225,nina sailor,4
101225,apropos pizza,2
101225,bronze mystic,5
101225,garden jimmy,1
101225,tourist micro,7
101225,civil book,5
101225,ship canal,5
101225,current pony,4
101225,meteor slalom,9
101234,premium bread,7
101234,violet saga,2
